[14:08:10] [info] ShawEngine: Creating window ShawEngine Editor (1600, 900)
[14:08:10] [info] ShawEngine: Initializing GLFW
[14:08:10] [info] ShawEngine: OpenGL Info:
[14:08:10] [info] ShawEngine:   Vendor: NVIDIA Corporation
[14:08:10] [info] ShawEngine:   Renderer: NVIDIA GeForce GTX 1050 Ti/PCIe/SSE2
[14:08:10] [info] ShawEngine:   Version: 4.6.0 NVIDIA 497.29
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:19] [warning] ShawEngine: Pixel data = -1
[14:08:32] [warning] ShawEngine: Pixel data = -1
[14:08:32] [warning] ShawEngine: Pixel data = -1
[14:08:32] [warning] ShawEngine: Pixel data = -1
[14:08:32] [warning] ShawEngine: Pixel data = -1
[14:08:32] [warning] ShawEngine: Pixel data = -1
[14:08:32] [warning] ShawEngine: Pixel data = -1
[14:08:32] [warning] ShawEngine: Pixel data = -1
[14:08:32] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:48] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:50] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:51] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:52] [warning] ShawEngine: Pixel data = -1
[14:08:58] [info] ShawEngine: Terminating GLFW
